id,name,overview,synonym,update_by,published_at,created_by,updated_by,created_at,updated_at,belongs_to
363,Răng mọc lệch,,,,2022-01-15 04:52:19.533+00,3,3,2022-01-15 04:52:14.144+00,2022-01-15 04:52:19.547+00,
508,Chảy dịch ở tai,,,,2022-01-16 09:31:00.58+00,2,2,2022-01-16 09:30:58.546+00,2022-01-16 09:31:00.592+00,
364,Không ngửi thấy mùi,,,,2022-01-15 05:18:28.082+00,3,3,2022-01-15 04:53:35.944+00,2022-01-15 05:18:28.107+00,
565,Mất ý thức,,,,2022-01-17 10:25:50.419+00,1,1,2022-01-17 10:25:48.762+00,2022-01-17 10:25:50.432+00,
605,Bi quan,,,,2022-01-18 02:11:31.191+00,1,1,2022-01-18 02:11:29.8+00,2022-01-18 02:11:31.214+00,
692,Giác mạc mất độ bóng,,,,2022-01-18 03:48:16.566+00,1,1,2022-01-18 03:48:15.216+00,2022-01-18 03:48:16.584+00,
713,Nhẹ cân,,,,2022-01-18 04:05:39.08+00,1,1,2022-01-18 04:05:37.328+00,2022-01-18 04:05:39.103+00,
693,Đục giác mạc,,,,2022-01-18 03:48:50.781+00,1,1,2022-01-18 03:48:49.255+00,2022-01-18 03:48:50.792+00,
19,Chảy máu cam,Chảy máu cam hay còn gọi là hiện tượng chảy máu mũi.,[],,2022-01-12 12:21:22.173+00,1,3,2022-01-12 10:06:17.351+00,2022-01-12 12:22:49.12+00,
118,Mồ hôi tay,,,Nam,2022-01-14 04:06:54.627+00,1,1,2022-01-14 04:06:52.731+00,2022-01-14 04:06:54.639+00,
158,Tiểu són,,,,2022-01-14 04:59:08.444+00,1,1,2022-01-14 04:59:06.854+00,2022-01-14 04:59:08.456+00,
198,Tê liệt tay chân,,,,2022-01-14 07:11:57.37+00,1,1,2022-01-14 07:11:55.663+00,2022-01-14 07:11:57.383+00,
199,Loét miệng,,,,2022-01-14 07:15:26.738+00,1,1,2022-01-14 07:15:25.162+00,2022-01-14 07:15:26.752+00,
244,Tiểu máu,,,,2022-01-14 08:11:17.499+00,2,2,2022-01-14 08:11:15.746+00,2022-01-14 08:11:17.524+00,
302,Các mảng màu đỏ trên da,,,,2022-01-14 09:57:44.691+00,1,1,2022-01-14 09:57:42.88+00,2022-01-14 09:57:44.701+00,
365,Đau sưng khớp,,,,2022-01-15 04:53:53.64+00,3,3,2022-01-15 04:53:52.106+00,2022-01-15 04:53:53.654+00,
432,Sổ mũi,,,,2022-01-15 07:56:20.867+00,3,3,2022-01-15 07:56:19.468+00,2022-01-15 07:56:20.88+00,
509,Chảy máu trong thực quản,,,,2022-01-16 10:01:03.295+00,2,2,2022-01-16 10:01:01.77+00,2022-01-16 10:01:03.308+00,
566,Mất phương hướng,,,,2022-01-17 10:26:43.967+00,1,1,2022-01-17 10:26:41.08+00,2022-01-17 10:26:43.981+00,
606,Mất hứng thú,,,,2022-01-18 02:12:00.763+00,1,1,2022-01-18 02:11:58.512+00,2022-01-18 02:12:00.775+00,
694,Đốm giác mạc,,,,2022-01-18 03:48:58.433+00,1,1,2022-01-18 03:48:56.969+00,2022-01-18 03:48:58.45+00,
714,Trương lực cơ giảm,,,,2022-01-18 04:06:42.65+00,1,1,2022-01-18 04:06:41.231+00,2022-01-18 04:06:42.662+00,
695,Đỏ quanh giác mạc,,,,2022-01-18 03:49:24.851+00,1,1,2022-01-18 03:49:22.758+00,2022-01-18 03:49:24.869+00,
719,Nổi nốt khắp cơ thể,,,,2022-01-18 04:10:31.145+00,1,1,2022-01-18 04:10:29.603+00,2022-01-18 04:10:31.163+00,
44,Lồi mắt,"Lồi mắt là sự nhô ra của nhãn cầu. Lồi mắt là thuật ngữ mô tả tình trạng nhô ra trước của nhãn cầu trong bệnh Graves<br>. Rối loạn có thể gây ra những thay đổi về diện mạo của khuôn mặt và mắt tương tự như lồi mắt nhưng không bao gồm cường giáp<br>không có bệnh mắt thâm nhiễm, bệnh Cushing<br>, và bệnh béo phì trầm trọng.<br>DR P. THƯ VIỆN ẢNH MARAZZI / KHOA HỌC",[],,2022-01-12 12:37:20.009+00,1,1,2022-01-12 10:06:17.649+00,2022-01-12 12:37:20.022+00,
119,Rối loạn tiêu hóa,,,Nam,2022-01-14 04:07:47.352+00,1,1,2022-01-14 04:07:45.609+00,2022-01-14 04:07:47.365+00,
200,Giảm thèm ăn,,,,2022-01-14 07:16:17.217+00,1,1,2022-01-14 07:16:15.662+00,2022-01-14 07:16:17.231+00,
159,Tiểu gấp,"Tình trạng tiểu gấp, thường có cảm giác bất chợt muốn đi tiểu, không nhịn tiểu được và cần phải đi tiểu ngay.",,,2022-01-14 04:59:17.7+00,1,1,2022-01-14 04:59:16.008+00,2022-01-14 04:59:41.631+00,
201,Giảm cân,,,,2022-01-14 07:16:26.059+00,1,1,2022-01-14 07:16:24.491+00,2022-01-14 07:16:26.073+00,
245,Đau vùng hạ sườn trái,,,,2022-01-14 08:12:55.26+00,1,1,2022-01-14 08:12:53.532+00,2022-01-14 08:12:55.27+00,
249,Bướu miệng,,,,2022-01-14 08:14:25.464+00,1,1,2022-01-14 08:14:19.641+00,2022-01-14 08:14:25.476+00,
303,Da đau rát,,,,2022-01-14 09:59:09.742+00,1,1,2022-01-14 09:59:07.8+00,2022-01-14 09:59:09.756+00,
366,Rối loạn hô hấp,,,,2022-01-15 04:56:30.467+00,3,3,2022-01-15 04:56:28.412+00,2022-01-15 04:56:30.48+00,
433,Ngáy to,,,,2022-01-15 07:57:03.175+00,3,3,2022-01-15 07:57:01.655+00,2022-01-15 07:57:03.19+00,
510,Nước bọt có máu,,,,2022-01-16 10:03:19.885+00,2,2,2022-01-16 10:03:18.155+00,2022-01-16 10:03:19.905+00,
567,Mất thăng bằng,,,,2022-01-17 10:29:15.476+00,1,1,2022-01-17 10:29:13.736+00,2022-01-17 10:29:15.514+00,
607,Đi đứng chậm chạp,,,,2022-01-18 02:13:30.243+00,1,1,2022-01-18 02:13:28.685+00,2022-01-18 02:13:30.264+00,
696,Vết loét da nhỏ,,,,2022-01-18 03:55:24.783+00,1,1,2022-01-18 03:55:22.869+00,2022-01-18 03:55:24.8+00,
715,Chân tay khẳng khiu,,,,2022-01-18 04:06:53.672+00,1,1,2022-01-18 04:06:52.118+00,2022-01-18 04:06:53.688+00,
698,"Vết loét từ mụn cơm, nút ruồi",,,,2022-01-18 03:56:28.633+00,1,1,2022-01-18 03:56:27.04+00,2022-01-18 03:56:28.647+00,
699,Nề đỏ xung quanh vết loét,,,,2022-01-18 03:57:10.918+00,1,1,2022-01-18 03:57:09.384+00,2022-01-18 03:57:10.939+00,
700,Vết loét từ sẹo cũ,,,,2022-01-18 03:57:38.885+00,1,1,2022-01-18 03:57:37.332+00,2022-01-18 03:57:38.91+00,
160,Ợ nóng ,,,,2022-01-14 05:01:53.35+00,1,1,2022-01-14 05:01:51.593+00,2022-01-14 05:01:53.361+00,
120,Khó ngủ,,,,2022-01-14 04:10:31.869+00,3,3,2022-01-14 04:10:30.13+00,2022-01-14 04:10:31.884+00,
24,Đái máu,"<br><br>Đái máu là tình trạng có hồng cầu (RBCs) trong nước tiểu, đặc biệt > 3 tế bào hồng cầu trên mỗi vi trường có độ phóng đại cao ở mẫu nước tiểu xét nghiệm. Nước tiểu có thể có màu đỏ, màu máu, hoặc màu giống nước cola (xuất hiện khi đái máu đại thể với quá trình oxi hóa máu bị ứ đọng lại trong bàng quang) hoặc nước tiểu không bị đổi màu rõ rệt (đái máu vi thể). Đái máu đơn độc là tình trạng chỉ có RBCs mà không có các bất thường khác trong nước tiểu (ví dụ: protein niệu<br>, trụ niệu).<br>Nước tiểu đỏ không phải lúc nào cũng là do có RBCs. Sự đổi màu nước tiểu thành màu đỏ hoặc nâu đỏ có thể là kết quả của những nguyên nhân sau:<br>Hemoglobin hoặc myoglobin trong nước tiểu<br>Bệnh Porphyria<br>(hầu hết các thể)<br>Thực phẩm (ví dụ, củ cải đường đỏ, đại hoàng, đôi khi màu thực phẩm)<br>Thuốc (phổ biến nhất là phenazopyridine, nhưng đôi khi là trà thảo mộc cascara, diphenylhydantoin, methyldopa, phenacetin, phenindione, phenolphthalein, phenothiazine, và phan tả diệp)",[],Nam,2022-01-12 12:25:21.05+00,1,1,2022-01-12 10:06:17.45+00,2022-01-14 04:49:13.462+00,
202,Sốt nhẹ,,,,2022-01-14 07:19:05.732+00,1,1,2022-01-14 07:19:03.562+00,2022-01-14 07:19:05.766+00,
246,Yếu ớt,,,,2022-01-14 08:13:27.679+00,1,1,2022-01-14 08:13:25.974+00,2022-01-14 08:13:27.69+00,
248,Rát hậu môn,,,,2022-01-14 08:14:17.919+00,2,2,2022-01-14 08:14:16.202+00,2022-01-14 08:14:17.929+00,
304,Mụn nước,,,,2022-01-14 09:59:37.121+00,1,1,2022-01-14 09:59:35.323+00,2022-01-14 09:59:37.148+00,
367,Chảy máu trong quan hệ,,,,2022-01-15 04:57:40.888+00,3,3,2022-01-15 04:57:39.163+00,2022-01-15 04:57:40.905+00,
434,Ngáy nhiều,,,,2022-01-15 07:57:16.538+00,3,3,2022-01-15 07:57:15.286+00,2022-01-15 07:57:16.551+00,
511,Bướu ở cổ,,,,2022-01-16 10:04:57.698+00,2,2,2022-01-16 10:04:56.033+00,2022-01-16 10:04:57.71+00,
494,Ngứa ở niệu đạo ,,,,2022-01-16 08:53:01.624+00,2,2,2022-01-16 08:53:00.089+00,2022-01-16 08:53:15.689+00,
568,Chán nản,,,,2022-01-17 10:30:52.994+00,1,1,2022-01-17 10:30:51.403+00,2022-01-17 10:30:53.013+00,
608,Lãnh cảm,,,,2022-01-18 02:14:44.823+00,1,1,2022-01-18 02:14:43.431+00,2022-01-18 02:14:44.839+00,
571,Nói mê,,,,2022-01-17 10:32:36.396+00,1,1,2022-01-17 10:32:34.239+00,2022-01-17 10:32:36.413+00,
572,Tiêu lỏng,,,,2022-01-17 10:34:33.453+00,1,1,2022-01-17 10:34:31.918+00,2022-01-17 10:34:33.474+00,
612,Tự ti,,,,2022-01-18 02:18:13.478+00,1,1,2022-01-18 02:18:11.183+00,2022-01-18 02:18:13.498+00,
716,Đau ngực dữ dội,,,,2022-01-18 04:08:22.519+00,1,1,2022-01-18 04:08:21.161+00,2022-01-18 04:08:22.543+00,
697,"Vết loét có bờ nông, đáy nhẵn",,,,2022-01-18 03:55:51.31+00,1,1,2022-01-18 03:55:49.767+00,2022-01-18 03:55:51.326+00,
718,Nốt rạ,,,,2022-01-18 04:10:02.166+00,1,1,2022-01-18 04:10:00.469+00,2022-01-18 04:10:02.213+00,
25,Chảy máu âm đạo,"Chảy máu âm đạo bất thường bao gồm<br>Kinh ra quá nhiều (rong kinh hoặc cường kinh) hay ra kinh quá thường xuyên (đa kinh ).<br>Chảy máu không liên quan đến kinh nguyệt, xuất hiện bất thường giữa các kỳ hành kinh (rong huyết)<br>Chảy máu quá mức trong thời kỳ kinh nguyệt và xuất hiện bất thường giữa các kỳ kinh nguyệt (rong kinh kéo dài )<br>Chảy máu sau mãn kinh (nghĩa là, > 6 tháng sau chu kỳ kinh nguyệt bình thường cuối cùng)<br>Chảy máu âm đạo cũng có thể xảy ra trong thời kì sớm của thai hoặc thời kỳ muộn. (xem Chảy máu âm đạo trong thời kỳ đầu mang thai<br>) (xem Chảy máu âm đạo trong thời kỳ mang thai muộn<br>).<br>Ra máu âm đạo có thể xuất phát từ bất cứ nơi nào trong hệ thống sinh dục bao gồm âm hộ, âm đạo, cổ tử cung và tử cung. Khi xuất huyết âm đạo bắt nguồn từ tử cung, nó được gọi là chảy máu tử cung bất thường (AUB).",[],,2022-01-12 12:20:26.579+00,1,1,2022-01-12 10:06:17.457+00,2022-01-12 12:20:26.593+00,
8,Nấc,"Nấc là sự lặp lại tình trạng co thắt không tự chủ của cơ hoành, theo sau là sự đóng đột ngột của thanh môn, cản trở dòng khí thở vào và gây ra âm thanh đặc trưng. Các đợt chuyển tiếp rất phổ biến. Nấc kéo dài (> 2 ngày) và kháng trị (> 1 tháng) không thường gặp nhưng khá nguy hiểm.",[],,2022-01-12 12:38:28.949+00,1,1,2022-01-12 10:06:17.234+00,2022-01-12 12:38:28.962+00,
16,Ngất,"Ngất là hiện tượng mất ý thức ngắn và đột, kèm theo mất trương lực tư thế và phục hồi ngay sau đó. Bệnh nhân có biểu hiện không cử động được, đầu chi lạnh, mạch yếu và thở nông. Đôi khi xảy ra hiện tượng giật cơ ngắn, ngoài ý muốn, giống cơn động kinh.<br>Tiền ngất là hiện tượng choáng, mệt thỉu, bệnh nhân có cảm giác sắp ngất nhưng không mất ý thức. Nó thường được phân loại và mô tả cùng triệu chứng ngất, bởi nguyên nhân của cả hai là như nhau.<br>Động kinh<br>có thể gây mất ý thức đột ngột, nhưng không được coi là ngất. Tuy nhiên, cần cân nhắc chẩn đoán động kinh ở những bệnh nhân có biểu hiện ngất, vì tiền sử và bệnh sử có thể không cung cấp những thông tin rõ ràng, hoặc không khai thác được, đồng thời một số loại động kinh không gây co giật hoặc co cứng. Thêm vào đó, cơn động kinh ngắn (< 5 giây) đôi khi có thể gây ngất.<br>Chẩn đoán dựa trên khai thác tiền sử và bệnh sử, những mô tả của người chứng kiến cơn động kinh, hoặc khám lâm sàng lúc xảy ra cơn động kinh.",[],,2022-01-12 12:38:38.727+00,1,1,2022-01-12 10:06:17.334+00,2022-01-12 12:38:38.744+00,
121,Giảm khả năng phản xạ,,,Nam,2022-01-14 04:12:40.679+00,1,1,2022-01-14 04:12:38.799+00,2022-01-14 04:12:40.709+00,
203,Hình dạng khuôn mặt bất thường,,,,2022-01-14 07:20:03.624+00,3,3,2022-01-14 07:20:02.248+00,2022-01-14 07:20:03.652+00,
122,Xanh da,,,,2022-01-14 04:12:52.493+00,3,3,2022-01-14 04:12:45.642+00,2022-01-14 04:12:52.505+00,
247,Xanh xao,,,,2022-01-14 08:13:36.812+00,1,1,2022-01-14 08:13:35.318+00,2022-01-14 08:13:36.838+00,
305,Ho thường xuyên,,,,2022-01-14 10:03:46.491+00,1,1,2022-01-14 10:03:44.839+00,2022-01-14 10:03:46.512+00,
368,Đau vai,,,,2022-01-15 05:22:55.634+00,1,1,2022-01-15 05:22:54.235+00,2022-01-15 05:22:55.651+00,
435,Bồn chồn,,,,2022-01-15 08:14:36.829+00,3,3,2022-01-15 08:14:35.257+00,2022-01-15 08:14:36.84+00,
717,Nốt đỏ tròn nhỏ,,,,2022-01-18 04:09:51.311+00,1,1,2022-01-18 04:09:49.597+00,2022-01-18 04:09:51.327+00,
436,Nổi mụn,,,,2022-01-15 08:15:08.456+00,3,3,2022-01-15 08:15:06.316+00,2022-01-15 08:15:08.468+00,
512,Loét hậu môn,,,,2022-01-16 10:08:15.962+00,2,2,2022-01-16 10:08:14.277+00,2022-01-16 10:08:15.99+00,
495,Khối u ở cổ,,,,2022-01-16 08:56:01.252+00,2,2,2022-01-16 08:55:59.15+00,2022-01-16 08:56:01.265+00,
614,Đau nhức chân tay,,,,2022-01-18 02:19:25.948+00,1,1,2022-01-18 02:19:24.487+00,2022-01-18 02:19:25.962+00,
615,Dễ nổi giận,,,,2022-01-18 02:20:06.22+00,1,1,2022-01-18 02:20:04.749+00,2022-01-18 02:20:06.23+00,
616,Ít quan tâm tới người khác,,,,2022-01-18 02:20:37.205+00,1,1,2022-01-18 02:20:35.554+00,2022-01-18 02:20:37.218+00,
701,Khối u sùi,,,,2022-01-18 03:58:04.61+00,1,1,2022-01-18 03:58:03.162+00,2022-01-18 03:58:04.625+00,
702,"Khối u bề mặt mủn nát, dễ chảy máu",,,,2022-01-18 03:58:52.728+00,1,1,2022-01-18 03:58:51.211+00,2022-01-18 03:58:52.81+00,
26,Chảy máu âm đạo trong giai đoạn đầu của thai kỳ,"Xuất huyết âm đạo xảy ra khoảng ở 20 đến 30% số trường hợp mang thai đã được xác định trong 20 tuần đầu của thai kỳ; khoảng một nửa số trường hợp này bị sảy thai tự nhiên. Chảy máu âm đạo cũng có thể dẫn đến các kết quả không mong muốn của thai kỳ như trẻ sơ sinh nhẹ cân, sinh non, thai chết lưu, và tử vong chu sinh.",[],,2022-01-12 12:20:46.49+00,1,1,2022-01-12 10:06:17.457+00,2022-01-12 12:20:46.502+00,
123,Tinh dịch loãng,"Tinh dịch loãng và ít hoặc vón cục là một trong những biểu hiện đầu tiên. Tinh dịch là chất lỏng được phóng ra mỗi khi người đàn ông xuất tinh. Đây là hỗn hợp bao gồm tinh trùng, dịch từ tuyến tiền liệt, ống dẫn tinh và túi tinh. Kiểm tra trạng thái của tinh dịch là biện pháp đơn giản nhất, gợi ý chất lượng tinh trùng là tốt hay xấu. Tinh dịch của một người khỏe mạnh khoảng 2-5ml mỗi lần xuất tinh, chứa khoảng 60-80 triệu tinh trùng/ml tinh dịch, có độ sệt vừa phải, không loãng và không vón cục. Vì vậy tinh dịch loãng, không dính, nhìn như nước vo gạo hoặc vón cục tạo những hạt trắng nhỏ là biểu hiện của số lượng tinh trùng ít và chất lượng tinh trùng suy giảm.",,,2022-01-14 04:14:50.497+00,2,2,2022-01-14 04:14:48.74+00,2022-01-14 04:14:50.515+00,
15,Hạ huyết áp tư thế đứng,"Hạ huyết áp tư thế là sự suy giảm huyết áp tư thế quá mức khi đứng dậy. Định nghĩa hạ huyết áp tư thế được đồng thuận nhất là mức suy giảm huyết áp tâm thu > 20 mm Hg, hoặc mức suy giảm huyết áp tâm trương > 10 mm Hg, hoặc cả hai. Các triệu chứng ngất, hoa mắt chóng mặt, lẫn lộn hoặc nhìn mờ có thể kéo dài trong vài giây tới vài phút khi đứng dậy và biến mất nhanh chóng khi nằm xuống. Một số bệnh nhân có thể có biểu hiện choáng, ngất<br>, thậm chí xuất hiện co giật toàn thể. Triệu chứng có thể biểu hiện sau hoạt động thể lực hoặc sau 1 bữa ăn no. Hầu hết các triệu chứng cơ năng và thực thể đi kèm đều liên quan tới bệnh lý nguyên nhân gây ra hạ huyết áp tư thế. Hạ huyết áp tư thế không phải là một bệnh lý riêng biệt, mà được coi là sự bất thường trong quá trình điều hòa huyết áp do rất nhiều bệnh lý gây ra.",[],,2022-01-12 12:30:03.352+00,1,1,2022-01-12 10:06:17.333+00,2022-01-12 12:30:03.369+00,
162,Nôn ra máu,,,,2022-01-14 05:03:18.106+00,1,1,2022-01-14 05:03:16.566+00,2022-01-14 05:03:18.124+00,
204,Không có cử động hay phản xạ,,,,2022-01-14 07:22:10.064+00,3,3,2022-01-14 07:22:08.045+00,2022-01-14 07:22:10.091+00,
250,Sợ hãi,,,,2022-01-14 08:21:56.992+00,2,2,2022-01-14 08:21:55.311+00,2022-01-14 08:21:57.005+00,
306,Nhiều đờm,,,,2022-01-14 10:05:35.069+00,1,1,2022-01-14 10:05:33.546+00,2022-01-14 10:05:35.083+00,
369,Đau thắt lưng,,,,2022-01-15 05:23:36.608+00,1,1,2022-01-15 05:23:35.307+00,2022-01-15 05:23:36.622+00,
437,Xuất tinh sớm,,,,2022-01-15 08:15:48.758+00,3,3,2022-01-15 08:15:47.149+00,2022-01-15 08:15:48.773+00,
438,Rối loạn cương dương,,,,2022-01-15 08:16:02.261+00,3,3,2022-01-15 08:16:00.119+00,2022-01-15 08:16:02.289+00,
513,Loét bộ phận sinh dục,,,,2022-01-16 10:08:26.323+00,2,2,2022-01-16 10:08:24.776+00,2022-01-16 10:08:26.334+00,
496,Da vùng cổ thâm,,,,2022-01-16 08:56:44.033+00,2,2,2022-01-16 08:56:42.612+00,2022-01-16 08:56:44.047+00,
573,Nhạy cảm với tiếng ồn,,,,2022-01-17 10:37:52.415+00,1,1,2022-01-17 10:37:50.845+00,2022-01-17 10:37:52.433+00,
610,Rối loạn giấc ngủ,,,,2022-01-18 02:15:36.464+00,1,1,2022-01-18 02:15:33.855+00,2022-01-18 02:15:36.48+00,
703,Khối u trên mặt,,,,2022-01-18 04:00:05.599+00,1,1,2022-01-18 04:00:03.361+00,2022-01-18 04:00:05.615+00,
720,Nốt thành mụn nước,,,,2022-01-18 04:11:23.651+00,1,1,2022-01-18 04:11:22.166+00,2022-01-18 04:11:23.668+00,
704,Uể oải,,,,2022-01-18 04:01:16.205+00,1,1,2022-01-18 04:01:11.244+00,2022-01-18 04:01:16.22+00,
706,Cơ lỏng lẻo,,,,2022-01-18 04:02:13.647+00,1,1,2022-01-18 04:02:12.226+00,2022-01-18 04:02:13.663+00,
710,Gầy guộc,,,,2022-01-18 04:04:24.777+00,1,1,2022-01-18 04:04:23.291+00,2022-01-18 04:04:24.79+00,
711,Tóc khô,,,,2022-01-18 04:04:45.991+00,1,1,2022-01-18 04:04:44.362+00,2022-01-18 04:04:46.006+00,
27,Chảy máu âm đạo trong giai đoạn cuối của thai kỳ,"Chảy máu trong giai đoạn muộn của thai kỳ (≥ 20 tuần mang thai, nhưng trước khi sinh) xảy ra từ 3 đến 4% số thai nghén.",[],,2022-01-12 12:20:33.682+00,1,1,2022-01-12 10:06:17.462+00,2022-01-12 12:20:33.694+00,
40,Sưng mí mắt,Sưng mi mắt có thể một hoặc hai bên Nó có thể không biểu hiện triệu chứng hoặc kèm theo ngứa hoặc đau.,[],,2022-01-12 12:41:51.539+00,1,1,2022-01-12 10:06:17.586+00,2022-01-12 12:41:51.551+00,
37,Đau họng,<br>Đau họng là tình trạng đau và khó chịu ở vùng họng,[],,2022-01-12 12:27:34.45+00,1,3,2022-01-12 10:06:17.556+00,2022-01-12 12:27:57.893+00,
